country,year,pred_tree_loss_ha
Bulgaria,2025,19493.20854972962
Bulgaria,2026,19526.846035759154
Bulgaria,2027,19560.4835217887
Bulgaria,2028,19594.121007818263
Bulgaria,2029,19627.758493847825
Bulgaria,2030,19661.395979877358
Bulgaria,2031,19695.033465906905
Bulgaria,2032,19728.670951936438
Bulgaria,2033,19762.308437966
Bulgaria,2034,19795.945923995547
Burkina Faso,2025,7207.690312484789
Burkina Faso,2026,7265.79541757625
Burkina Faso,2027,7323.900522667733
Burkina Faso,2028,7382.005627759208
Burkina Faso,2029,7440.110732850691
Burkina Faso,2030,7498.215837942153
Burkina Faso,2031,7556.320943033628
Burkina Faso,2032,7614.426048125104
Burkina Faso,2033,7672.531153216587
Burkina Faso,2034,7730.636258308048
Burundi,2025,9342.747104627568
Burundi,2026,9470.702530894065
Burundi,2027,9598.657957160562
Burundi,2028,9726.613383427051
Burundi,2029,9854.568809693534
Burundi,2030,9982.524235960052
Burundi,2031,10110.479662226513
Burundi,2032,10238.435088493017
Burundi,2033,10366.390514759507
Burundi,2034,10494.345941026011
Cambodia,2025,184548.4208032887
Cambodia,2026,189399.18785892322
Cambodia,2027,194249.95491455524
Cambodia,2028,199100.72197018773
Cambodia,2029,203951.48902582
Cambodia,2030,208802.25608145457
Cambodia,2031,213653.02313708683
Cambodia,2032,218503.79019271868
Cambodia,2033,223354.55724835128
Cambodia,2034,228205.32430398575
Cameroon,2025,198306.51410683314
Cameroon,2026,207608.39685218135
Cameroon,2027,216910.27959753142
Cameroon,2028,226212.16234287806
Cameroon,2029,235514.04508822603
Cameroon,2030,244815.92783357616
Cameroon,2031,254117.81057892274
Cameroon,2032,263419.69332427083
Cameroon,2033,272721.57606961945
Cameroon,2034,282023.45881496964
Canada,2025,3957291.9167142217
Canada,2026,4070430.647158609
Canada,2027,4183569.377602976
Canada,2028,4296708.108047347
Canada,2029,4409846.838491732
Canada,2030,4522985.568936101
Canada,2031,4636124.299380471
Canada,2032,4749263.029824857
Canada,2033,4862401.7602692265
Canada,2034,4975540.490713594
Central African Republic,2025,44085.8495382906
Central African Republic,2026,45680.62785958873
Central African Republic,2027,47275.40618088757
Central African Republic,2028,48870.1845021856
Central African Republic,2029,50464.96282348437
Central African Republic,2030,52059.7411447832
Central African Republic,2031,53654.519466081474
Central African Republic,2032,55249.29778738023
Central African Republic,2033,56844.076108678346
Central African Republic,2034,58438.85442997709
Chad,2025,14376.512718959566
Chad,2026,14785.591482679534
Chad,2027,15194.670246399692
Chad,2028,15603.749010119805
Chad,2029,16012.827773839788
Chad,2030,16421.906537559902
Chad,2031,16830.98530128006
Chad,2032,17240.064065000028
Chad,2033,17649.14282872017
Chad,2034,18058.22159244014
Chile,2025,140746.42291332717
Chile,2026,142000.79304832075
Chile,2027,143255.16318331426
Chile,2028,144509.53331830754
Chile,2029,145763.9034533011
Chile,2030,147018.27358829463
Chile,2031,148272.64372328814
Chile,2032,149527.0138582813
Chile,2033,150781.38399327488
Chile,2034,152035.7541282684
China,2025,516582.9861535983
China,2026,525180.8479835636
China,2027,533778.7098135235
China,2028,542376.5716434851
China,2029,550974.4334734451
China,2030,559572.2953034103
China,2031,568170.1571333709
China,2032,576768.0189633308
China,2033,585365.8807932916
China,2034,593963.7426232577
Colombia,2025,271624.62223573605
Colombia,2026,277420.4573003616
Colombia,2027,283216.2923649871
Colombia,2028,289012.12742961146
Colombia,2029,294807.9624942369
Colombia,2030,300603.797558862
Colombia,2031,306399.63262348674
Colombia,2032,312195.4676881118
Colombia,2033,317991.3027527373
Colombia,2034,323787.1378173622
Costa Rica,2025,16786.595792429187
Costa Rica,2026,16650.440272034597
Costa Rica,2027,16514.28475164002
Costa Rica,2028,16378.12923124546
Costa Rica,2029,16241.973710850885
Costa Rica,2030,16105.818190456295
Costa Rica,2031,15969.662670061705
Costa Rica,2032,15833.507149667115
Costa Rica,2033,15697.351629272627
Costa Rica,2034,15561.196108878023
Croatia,2025,17179.087563311085
Croatia,2026,17458.687077376526
Croatia,2027,17738.28659144204
Croatia,2028,18017.886105507496
Croatia,2029,18297.485619573054
Croatia,2030,18577.08513363851
Croatia,2031,18856.68464770398
Croatia,2032,19136.28416176951
Croatia,2033,19415.88367583498
Croatia,2034,19695.483189900493
Cuba,2025,34003.80766940153
Cuba,2026,34483.68698126862
Cuba,2027,34963.56629313562
Cuba,2028,35443.445605002635
Cuba,2029,35923.324916869606
Cuba,2030,36403.20422873658
Cuba,2031,36883.08354060353
Cuba,2032,37362.96285247069
Cuba,2033,37842.84216433769
Cuba,2034,38322.72147620468
Czechia,2025,57954.93617498501
Czechia,2026,60284.32426137815
Czechia,2027,62613.712347772234
Czechia,2028,64943.100434165375
Czechia,2029,67272.48852055936
Czechia,2030,69601.87660695252
Czechia,2031,71931.26469334541
Czechia,2032,74260.65277973973
Czechia,2033,76590.04086613287
Czechia,2034,78919.42895252696
Côte D'Ivoire,2025,305066.06195377035
Côte D'Ivoire,2026,314529.81844472495
Côte D'Ivoire,2027,323993.57493568293
Côte D'Ivoire,2028,333457.33142663987
Côte D'Ivoire,2029,342921.0879175969
Côte D'Ivoire,2030,352384.8444085547
Côte D'Ivoire,2031,361848.6008995118
Côte D'Ivoire,2032,371312.35739046976
Côte D'Ivoire,2033,380776.11388142675
Côte D'Ivoire,2034,390239.8703723836
Democratic Republic Of The Congo,2025,1693459.4645996655
Democratic Republic Of The Congo,2026,1760737.1745794008
Democratic Republic Of The Congo,2027,1828014.8845591454
Democratic Republic Of The Congo,2028,1895292.59453888
Democratic Republic Of The Congo,2029,1962570.3045186354
Democratic Republic Of The Congo,2030,2029848.0144983784
Democratic Republic Of The Congo,2031,2097125.7244781135
Democratic Republic Of The Congo,2032,2164403.43445785
Democratic Republic Of The Congo,2033,2231681.1444375855
Democratic Republic Of The Congo,2034,2298958.8544173287
Denmark,2025,11973.484920400864
Denmark,2026,12072.810752653459
Denmark,2027,12172.136584906082
Denmark,2028,12271.462417158691
Denmark,2029,12370.7882494113
Denmark,2030,12470.114081663909
Denmark,2031,12569.439913916518
Denmark,2032,12668.765746169127
Denmark,2033,12768.09157842175
Denmark,2034,12867.41741067436
Djibouti,2025,7009.1935396510235
Djibouti,2026,7069.993821583754
Djibouti,2027,7130.794103516491
Djibouti,2028,7191.594385449229
Djibouti,2029,7252.394667381966
Djibouti,2030,7313.194949314704
Djibouti,2031,7373.995231247434
Djibouti,2032,7434.795513180172
Djibouti,2033,7495.595795112909
Djibouti,2034,7556.396077045647
Dominican Republic,2025,25362.189116769907
Dominican Republic,2026,25632.613661937095
Dominican Republic,2027,25903.038207104328
Dominican Republic,2028,26173.462752271545
Dominican Republic,2029,26443.88729743875
Dominican Republic,2030,26714.311842605966
Dominican Republic,2031,26984.73638777317
Dominican Republic,2032,27255.160932940373
Dominican Republic,2033,27525.585478107605
Dominican Republic,2034,27796.010023274794
Ecuador,2025,48939.152363696325
Ecuador,2026,49610.0353054818
Ecuador,2027,50280.918247267284
Ecuador,2028,50951.80118905283
Ecuador,2029,51622.68413083827
Ecuador,2030,52293.56707262383
Ecuador,2031,52964.450014409435
Ecuador,2032,53635.33295619488
Ecuador,2033,54306.215897980335
Ecuador,2034,54977.09883976591
Egypt,2025,6910.926042965963
Egypt,2026,6967.988511628297
Egypt,2027,7025.050980290645
Egypt,2028,7082.113448952994
Egypt,2029,7139.1759176153355
Egypt,2030,7196.23838627767
Egypt,2031,7253.300854940011
Egypt,2032,7310.36332360236
Egypt,2033,7367.425792264708
Egypt,2034,7424.488260927043
El Salvador,2025,7928.192707413538
El Salvador,2026,7743.747646632975
El Salvador,2027,7559.302585852427
El Salvador,2028,7374.857525071871
El Salvador,2029,7190.412464291316
El Salvador,2030,7005.967403510738
El Salvador,2031,6821.522342730183
El Salvador,2032,6637.077281949627
El Salvador,2033,6452.632221169064
El Salvador,2034,6268.187160388508
Equatorial Guinea,2025,11639.83961041925
Equatorial Guinea,2026,12006.623711127933
Equatorial Guinea,2027,12373.407811836703
Equatorial Guinea,2028,12740.191912545488
Equatorial Guinea,2029,13106.97601325433
Equatorial Guinea,2030,13473.760113963086
Equatorial Guinea,2031,13840.5442146719
Equatorial Guinea,2032,14207.328315380684
Equatorial Guinea,2033,14574.112416089556
Equatorial Guinea,2034,14940.89651679834
Eritrea,2025,7024.419498922391
Eritrea,2026,7085.15958428209
Eritrea,2027,7145.899669641796
Eritrea,2028,7206.639755001495
Eritrea,2029,7267.3798403611945
Eritrea,2030,7328.119925720894
Eritrea,2031,7388.860011080593
Eritrea,2032,7449.600096440292
Eritrea,2033,7510.340181799998
Eritrea,2034,7571.08026715969
Estonia,2025,43536.84853834905
Estonia,2026,44761.3612679004
Estonia,2027,45985.873997451316
Estonia,2028,47210.386727002755
Estonia,2029,48434.899456553554
Estonia,2030,49659.41218610504
Estonia,2031,50883.924915655734
Estonia,2032,52108.437645207174
Estonia,2033,53332.95037475854
Estonia,2034,54557.46310430944
Ethiopia,2025,29293.309918906205
Ethiopia,2026,29822.200240165417
Ethiopia,2027,30351.090561425095
Ethiopia,2028,30879.980882684613
Ethiopia,2029,31408.871203943985
Ethiopia,2030,31937.76152520356
Ethiopia,2031,32466.65184646283
Ethiopia,2032,32995.54216772245
Ethiopia,2033,33524.43248898166
Ethiopia,2034,34053.32281024127
Faroe Islands,2025,7009.193551555203
Faroe Islands,2026,7069.993833487933
Faroe Islands,2027,7130.794115420671
Faroe Islands,2028,7191.594397353409
Faroe Islands,2029,7252.394679286146
Faroe Islands,2030,7313.194961218884
Faroe Islands,2031,7373.995243151614
Faroe Islands,2032,7434.7955250843515
Faroe Islands,2033,7495.595807017089
Faroe Islands,2034,7556.396088949827
Fiji,2025,10524.16134317845
Fiji,2026,10683.071583518336
Fiji,2027,10841.981823858237
Fiji,2028,11000.89206419811
Fiji,2029,11159.802304537967
Fiji,2030,11318.712544877868
Fiji,2031,11477.62278521771
Fiji,2032,11636.533025557626
Fiji,2033,11795.443265897498
Fiji,2034,11954.35350623737
Finland,2025,233789.02487592958
Finland,2026,239523.9390655869
Finland,2027,245258.85325524642
Finland,2028,250993.76744490548
Finland,2029,256728.68163456535
Finland,2030,262463.5958242246
Finland,2031,268198.51001388184
Finland,2032,273933.4242035409
Finland,2033,279668.3383932008
Finland,2034,285403.25258286006
France,2025,106751.66948615642
France,2026,108853.69114286789
France,2027,110955.71279957936
France,2028,113057.7344562905
France,2029,115159.75611300177
France,2030,117261.77776971324
France,2031,119363.79942642471
France,2032,121465.82108313606
France,2033,123567.8427398478
France,2034,125669.86439655862
French Guiana,2025,193.44975671121938
French Guiana,2026,229.346248716829
French Guiana,2027,265.2427407224459
French Guiana,2028,301.1392327280555
French Guiana,2029,337.0357247336651
French Guiana,2030,372.9322167393111
French Guiana,2031,408.82870874492073
French Guiana,2032,444.7252007505449
French Guiana,2033,480.62169275614724
French Guiana,2034,516.5181847617496
Gabon,2025,24369.621254424535
Gabon,2026,25214.423183553896
Gabon,2027,26059.225112683038
Gabon,2028,26904.027041812136
Gabon,2029,27748.82897094151
Gabon,2030,28593.63090007064
Gabon,2031,29438.432829199926
Gabon,2032,30283.23475832907
Gabon,2033,31128.0366874585
Gabon,2034,31972.838616587498
Gambia,2025,7042.84603756381
Gambia,2026,7102.424034067313
Gambia,2027,7162.002030570831
Gambia,2028,7221.580027074342
Gambia,2029,7281.158023577853
Gambia,2030,7340.736020081356
Gambia,2031,7400.314016584867
Gambia,2032,7459.892013088378
Gambia,2033,7519.470009591889
Gambia,2034,7579.0480060954
Georgia,2025,5853.455639798085
Georgia,2026,5879.38728381219
Georgia,2027,5905.318927826287
Georgia,2028,5931.2505718403845
Georgia,2029,5957.182215854489
Georgia,2030,5983.113859868587
Georgia,2031,6009.045503882669
Georgia,2032,6034.977147896774
Georgia,2033,6060.908791910879
Georgia,2034,6086.840435924969
Germany,2025,129195.76838722058
Germany,2026,134143.40672262304
Germany,2027,139091.0450580254
Germany,2028,144038.68339342793
Germany,2029,148986.32172882842
Germany,2030,153933.9600642309
Germany,2031,158881.59839963284
Germany,2032,163829.23673503572
Germany,2033,168776.87507043534
Germany,2034,173724.51340583822
Ghana,2025,94445.28697530592
Ghana,2026,97834.42440117167
Ghana,2027,101223.56182703392
Ghana,2028,104612.69925289859
Ghana,2029,108001.8366787632
Ghana,2030,111390.97410462725
Ghana,2031,114780.11153049186
Ghana,2032,118169.24895635714
Ghana,2033,121558.38638221943
Ghana,2034,124947.52380808398
Greece,2025,30376.895860938675
Greece,2026,30986.06854311659
Greece,2027,31595.241225294536
Greece,2028,32204.413907472466
Greece,2029,32813.586589650324
Greece,2030,33422.75927182833
Greece,2031,34031.93195400617
Greece,2032,34641.104636184056
Greece,2033,35250.27731836206
Greece,2034,35859.4500005399
Guadeloupe,2025,7018.159830393561
Guadeloupe,2026,7071.245973156707
Guadeloupe,2027,7124.33211591986
Guadeloupe,2028,7177.418258683014
Guadeloupe,2029,7230.50440144616
Guadeloupe,2030,7283.590544209306
Guadeloupe,2031,7336.676686972452
Guadeloupe,2032,7389.762829735606
Guadeloupe,2033,7442.848972498759
Guadeloupe,2034,7495.935115261891
Guatemala,2025,103016.67536595264
Guatemala,2026,104380.8415489148
Guatemala,2027,105745.00773187725
Guatemala,2028,107109.17391483927
Guatemala,2029,108473.3400978018
Guatemala,2030,109837.50628076379
Guatemala,2031,111201.6724637263
Guatemala,2032,112565.83864668825
Guatemala,2033,113930.00482965079
Guatemala,2034,115294.1710126128
Guinea,2025,220636.49516339536
Guinea,2026,230846.43410714786
Guinea,2027,241056.37305089913
Guinea,2028,251266.3119946458
Guinea,2029,261476.25093839702
Guinea,2030,271686.1898821484
Guinea,2031,281896.1288258997
Guinea,2032,292106.06776964734
Guinea,2033,302316.00671339856
Guinea,2034,312525.94565714995
Guinea-Bissau,2025,26821.895156744446
Guinea-Bissau,2026,27586.449270864367
Guinea-Bissau,2027,28351.003384984637
Guinea-Bissau,2028,29115.557499104558
Guinea-Bissau,2029,29880.11161322448
Guinea-Bissau,2030,30644.665727344443
Guinea-Bissau,2031,31409.219841464364
Guinea-Bissau,2032,32173.77395558459
Guinea-Bissau,2033,32938.32806970457
Guinea-Bissau,2034,33702.88218382449
Guyana,2025,-18201.36120247793
Guyana,2026,-18264.74556452214
Guyana,2027,-18328.129926566442
Guyana,2028,-18391.51428861072
Guyana,2029,-18454.898650655974
Guyana,2030,-18518.283012700165
Guyana,2031,-18581.66737474462
Guyana,2032,-18645.05173678878
Guyana,2033,-18708.436098833103
Guyana,2034,-18771.82046087792
Haiti,2025,12372.358598446765
Haiti,2026,12578.094589339613
Haiti,2027,12783.830580232476
Haiti,2028,12989.566571125339
Haiti,2029,13195.302562018216
Haiti,2030,13401.038552911064
Haiti,2031,13606.774543803927
Haiti,2032,13812.51053469679
Haiti,2033,14018.246525589711
Haiti,2034,14223.982516482574
Honduras,2025,117120.49558582307
Honduras,2026,120862.57252717567
Honduras,2027,124604.64946852917
Honduras,2028,128346.72640988177
Honduras,2029,132088.80335123447
Honduras,2030,135830.8802925882
Honduras,2031,139572.95723394054
Honduras,2032,143315.0341752931
Honduras,2033,147057.11111664574
Honduras,2034,150799.18805799942
Hungary,2025,22101.671869153128
Hungary,2026,22527.757564911648
Hungary,2027,22953.84326067011
Hungary,2028,23379.928956428455
Hungary,2029,23806.014652186946
Hungary,2030,24232.100347945452
Hungary,2031,24658.18604370393
Hungary,2032,25084.271739462245
Hungary,2033,25510.35743522075
Hungary,2034,25936.443130979256
Iceland,2025,7009.193551555203
Iceland,2026,7069.993833487933
Iceland,2027,7130.794115420671
Iceland,2028,7191.594397353409
Iceland,2029,7252.394679286146
Iceland,2030,7313.194961218884
Iceland,2031,7373.995243151614
Iceland,2032,7434.7955250843515
Iceland,2033,7495.595807017089
Iceland,2034,7556.396088949827
India,2025,154969.77380318614
India,2026,160174.61513948714
India,2027,165379.45647578593
India,2028,170584.29781208478
India,2029,175789.13914838585
India,2030,180993.98048468522
India,2031,186198.82182098395
India,2032,191403.66315728275
India,2033,196608.50449358387
India,2034,201813.34582988266
Indonesia,2025,1322146.1782012633
Indonesia,2026,1329350.4848811748
Indonesia,2027,1336554.7915610834
Indonesia,2028,1343759.0982409962
Indonesia,2029,1350963.4049209047
Indonesia,2030,1358167.711600813
Indonesia,2031,1365372.0182807262
Indonesia,2032,1372576.324960634
Indonesia,2033,1379780.6316405474
Indonesia,2034,1386984.9383204556
Iran,2025,5745.128343947661
Iran,2026,5793.119629717497
Iran,2027,5841.110915487348
Iran,2028,5889.102201257199
Iran,2029,5937.093487027058
Iran,2030,5985.084772796901
Iran,2031,6033.076058566738
Iran,2032,6081.067344336589
Iran,2033,6129.0586301064395
Iran,2034,6177.049915876283
Iraq,2025,6992.757123745112
Iraq,2026,7052.758809073341
Iraq,2027,7112.760494401569
Iraq,2028,7172.762179729798
Iraq,2029,7232.763865058027
Iraq,2030,7292.765550386248
Iraq,2031,7352.767235714469
Iraq,2032,7412.768921042705
Iraq,2033,7472.7706063709265
Iraq,2034,7532.772291699148
Ireland,2025,13989.486385955577
Ireland,2026,14074.25980905487
Ireland,2027,14159.03323215418
Ireland,2028,14243.806655253487
Ireland,2029,14328.580078352796
Ireland,2030,14413.353501452075
Ireland,2031,14498.126924551369
Ireland,2032,14582.900347650662
Ireland,2033,14667.67377074997
Ireland,2034,14752.447193849264
Italy,2025,49146.40330789627
Italy,2026,50700.867856325945
Italy,2027,52255.33240475562
Italy,2028,53809.796953185345
Italy,2029,55364.26150161511
Italy,2030,56918.726050044716
Italy,2031,58473.190598474495
Italy,2032,60027.65514690407
Italy,2033,61582.11969533385
Italy,2034,63136.58424376346
Japan,2025,50632.41722703677
Japan,2026,51633.866437846285
Japan,2027,52635.31564865635
Japan,2028,53636.76485946633
Japan,2029,54638.21407027576
Japan,2030,55639.663281085974
Japan,2031,56641.11249189543
Japan,2032,57642.56170270544
Japan,2033,58644.01091351545
Japan,2034,59645.46012432505
Jordan,2025,7007.766525826155
Jordan,2026,7068.547477223343
Jordan,2027,7129.328428620545
Jordan,2028,7190.109380017748
Jordan,2029,7250.890331414936
Jordan,2030,7311.671282812131
Jordan,2031,7372.452234209326
Jordan,2032,7433.233185606521
Jordan,2033,7494.014137003724
Jordan,2034,7554.795088400919
Kazakhstan,2025,10111.182436554838
Kazakhstan,2026,10153.97143972553
Kazakhstan,2027,10196.760442896251
Kazakhstan,2028,10239.549446066958
Kazakhstan,2029,10282.33844923765
Kazakhstan,2030,10325.127452408371
Kazakhstan,2031,10367.916455579078
Kazakhstan,2032,10410.705458749784
Kazakhstan,2033,10453.494461920505
Kazakhstan,2034,10496.283465091183
Kenya,2025,19459.31571383994
Kenya,2026,19214.971063279503
Kenya,2027,18970.62641271911
Kenya,2028,18726.281762158556
Kenya,2029,18481.937111598134
Kenya,2030,18237.59246103777
Kenya,2031,17993.2478104772
Kenya,2032,17748.903159916823
Kenya,2033,17504.558509356386
Kenya,2034,17260.213858795963
Kosovo,2025,8342.7387548747
Kosovo,2026,8412.287015380134
Kosovo,2027,8481.835275885576
Kosovo,2028,8551.383536391026
Kosovo,2029,8620.931796896453
Kosovo,2030,8690.480057401888
Kosovo,2031,8760.028317907323
Kosovo,2032,8829.576578412765
Kosovo,2033,8899.124838918207
Kosovo,2034,8968.673099423635
Kyrgyzstan,2025,7156.925178731064
Kyrgyzstan,2026,7201.307903109089
Kyrgyzstan,2027,7245.690627487129
Kyrgyzstan,2028,7290.073351865161
Kyrgyzstan,2029,7334.4560762431865
Kyrgyzstan,2030,7378.838800621204
Kyrgyzstan,2031,7423.221524999237
Kyrgyzstan,2032,7467.604249377269
Kyrgyzstan,2033,7511.986973755302
Kyrgyzstan,2034,7556.36969813332
Laos,2025,401357.0889462849
Laos,2026,419604.9299245774
Laos,2027,437852.7709028629
Laos,2028,456100.6118811578
Laos,2029,474348.4528594505
Laos,2030,492596.2938377437
Laos,2031,510844.1348160363
Laos,2032,529091.975794331
Laos,2033,547339.8167726259
Laos,2034,565587.6577509189
Latvia,2025,58220.266148446026
Latvia,2026,59559.944566881706
Latvia,2027,60899.6229853175
Latvia,2028,62239.30140375368
Latvia,2029,63578.97982218934
Latvia,2030,64918.658240625125
Latvia,2031,66258.3366590607
Latvia,2032,67598.0150774965
Latvia,2033,68937.6934959321
Latvia,2034,70277.37191436834
Lebanon,2025,7480.143265777042
Lebanon,2026,7557.231861674831
Lebanon,2027,7634.320457572634
Lebanon,2028,7711.409053470423
Lebanon,2029,7788.497649368226
Lebanon,2030,7865.586245266015
Lebanon,2031,7942.674841163804
Lebanon,2032,8019.763437061607
Lebanon,2033,8096.852032959403
Lebanon,2034,8173.9406288571845
Liberia,2025,242304.60418568103
Liberia,2026,252909.09326486755
Liberia,2027,263513.5823440577
Liberia,2028,274118.07142324426
Liberia,2029,284722.5605024288
Liberia,2030,295327.04958161985
Liberia,2031,305931.53866080544
Liberia,2032,316536.027739992
Liberia,2033,327140.51681917754
Liberia,2034,337745.0058983688
Lithuania,2025,32031.294427205998
Lithuania,2026,32761.851715830286
Lithuania,2027,33492.40900445475
Lithuania,2028,34222.96629307905
Lithuania,2029,34953.52358170353
Lithuania,2030,35684.0808703278
Lithuania,2031,36414.638158952046
Lithuania,2032,37145.19544757658
Lithuania,2033,37875.75273620081
Lithuania,2034,38606.31002482533
Luxembourg,2025,7820.673518850774
Luxembourg,2026,7907.797543391047
