country,tree_cover_loss_ha,primary_forest_loss_ha,carbon_gross_emissions_MgCO2e,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,territories,recognized,not_recognized,area_km2,forest_extent_change_pct,recognition_ratio,restoration_pressure_score
French Guiana,91912,62779,69178558.0,8162754.0,8157816.0,10103.0,,,,,-0.06049428905979526,,1.161090558
Gabon,554641,299178,350099341.0,24690954.0,24699912.0,50030.0,39.0,38.0,1.0,7311.463800566601,0.03628049365771772,0.9743589743589743,0.9303813666410258
Gambia,733,0,267687.0,4563.0,3885.0,15326.0,,,,,-14.858645627876395,,1.001000687
Georgia,12391,0,4728015.0,3144570.0,2989946.0,93537.0,,,,,-4.917174685251084,,1.017119015
Germany,1442272,0,801813782.0,12526018.0,12780607.0,342751.0,,,,,2.032481511682324,,3.244085782
Ghana,1752041,156286,1007798137.0,6968887.0,7050022.0,312663.0,,,,,1.1642461701560092,,3.759839137
Greece,305709,0,61600372.0,3672609.0,3620472.0,71539.0,,,,,-1.4196174980783416,,1.367309372
Guadeloupe,2797,93,1177028.0,94757.0,101680.0,1509.0,,,,,7.306056544635226,,1.003974028
Guatemala,1890560,638340,906014828.0,7691097.0,7032007.0,291023.0,,,,,-8.569518756557095,,3.796574828
Guinea,2292469,18644,1056683404.0,8159635.0,8023662.0,272657.0,,,,,-1.66641032350099,,4.349152404
Guinea-Bissau,219051,5994,91370964.0,1069852.0,1126590.0,43268.0,,,,,5.303350369957713,,1.310421964
Guyana,376137,231948,213542660.0,18996038.0,19052062.0,30501.0,118.0,118.0,0.0,35069.46751027393,0.29492465744698976,1.0,0.58967966
Haiti,81348,3104,36994679.0,858467.0,792454.0,13832.0,,,,,-7.689637458399683,,1.118342679
Honduras,1475120,549307,737393635.0,7740497.0,7554779.0,137965.0,,,,,-2.3993033005503395,,3.212513635
Hungary,275263,0,110933186.0,1989596.0,1991274.0,207305.0,,,,,0.08433873007384414,,1.386196186
Iceland,0,0,0.0,0.0,424691.0,0.0,,,,,inf,,1.0
India,2307054,347927,1286534466.0,32620759.0,28594312.0,1781312.0,5636.0,5636.0,0.0,35830.187750628946,-12.343204522003917,1.0,3.593588466
Indonesia,31963106,10731766,23206854606.0,160640822.0,157792890.0,4882129.0,,,,,-1.7728569640909833,,56.169960606000004
Iran,4158,0,1122190.0,1731669.0,1370814.0,49762.0,,,,,-20.8385667237792,,1.00528019
Iraq,142,0,45019.0,17505.0,27447.0,9456.0,,,,,56.79520137103685,,1.000187019
Ireland,161120,0,78811149.0,838579.0,1495681.0,284209.0,4635.0,4635.0,0.0,4467.060187397927,78.35898585583469,1.0,0.239931149
Italy,521659,0,184886134.0,9317986.0,9436182.0,189376.0,3403.0,3403.0,0.0,304.6287418143441,1.2684715345140034,1.0,0.706545134
Japan,969065,0,444395245.0,26387218.0,26256094.0,221004.0,,,,,-0.49692241144936156,,2.413460245
Jordan,8,0,1585.0,2271.0,2767.0,872.0,,,,,21.840598855129898,,1.000009585
Kazakhstan,87512,0,23008740.0,4240315.0,4527055.0,71224.0,,,,,6.762233466145793,,1.1105207400000001
Kenya,400390,54074,200210258.0,3319472.0,3335496.0,117011.0,43.0,40.0,3.0,29365.3535777914,0.482727373510004,0.9302325581395349,0.6703676998604652
Kosovo,18082,0,8780053.0,369938.0,322538.0,9292.0,,,,,-12.812957846990578,,1.026862053
Kyrgyzstan,2612,0,602963.0,674934.0,577900.0,67691.0,,,,,-14.376813140247787,,1.003214963
Laos,5163120,1281739,2766521981.0,19118849.0,17931566.0,101741.0,,,,,-6.2100129563238875,,8.929641981
Latvia,967840,0,322095509.0,3553508.0,3690743.0,290490.0,,,,,3.8619583802822453,,2.289935509
Lebanon,6906,0,1985187.0,65235.0,57764.0,6370.0,,,,,-11.452441174216295,,1.008891187
Liberia,2522056,386000,1483240023.0,9384718.0,9283500.0,57762.0,52.0,52.0,0.0,9450.147400446378,-1.0785406657930479,1.0,4.005296023
Lithuania,442552,0,153097244.0,2336225.0,2409460.0,241547.0,,,,,3.13475799634025,,1.595649244
Luxembourg,11021,0,6505768.0,101328.0,103464.0,2851.0,,,,,2.108005684509711,,1.017526768
Madagascar,5153136,1131172,2641771690.0,17141084.0,16436354.0,173322.0,,,,,-4.1113502506609265,,8.79490769
Malawi,264310,1123,113549470.0,1521029.0,1471557.0,41701.0,43.0,43.0,0.0,5.7650696934045005,-3.2525349615293333,1.0,0.37785947
Malaysia,9513550,2994160,5508403378.0,29444768.0,28646288.0,1007198.0,61.0,0.0,61.0,6768.937424455,-2.711789068944269,0.0,16.021953378
Mali,4507,0,2532366.0,25098.0,49161.0,203581.0,,,,,95.87616543150848,,1.007039366
Malta,13,0,3097.0,117.0,116.0,11.0,,,,,-0.8547008547008548,,1.000016097
Martinique,3055,132,1519866.0,74649.0,77223.0,678.0,,,,,3.448137282482016,,1.004574866
Mauritania,33,0,18796.0,33.0,1.0,711.0,,,,,-96.96969696969697,,1.000051796
Mexico,5216321,877559,2138170761.0,53168926.0,50334860.0,1422799.0,30644.0,30644.0,0.0,967647.4751309324,-5.330305148537325,1.0,7.354491761
Micronesia,76,0,53246.0,6171.0,6206.0,0.0,,,,,0.5671690163668773,,1.000129246
Moldova,78481,0,38714648.0,2730305.0,2524654.0,76227.0,,,,,-7.532162157707656,,1.117195648
Mongolia,439100,0,86849571.0,4090459.0,3552628.0,78600.0,,,,,-13.14842661911536,,1.525949571
Morocco,60012,0,15957938.0,648566.0,405762.0,81646.0,,,,,-37.43705343789221,,1.075969938
Mozambique,4594927,12701,1679064545.0,28920531.0,26975511.0,583233.0,1882.0,1882.0,0.0,234495.53568774252,-6.725395187246043,1.0,6.273991545
Myanmar,5147299,796297,2924464763.0,42863360.0,40919342.0,636627.0,67.0,67.0,0.0,76.3374193505094,-4.535384066951354,1.0,8.071763763
Namibia,1242,0,301513.0,4245.0,808.0,15192.0,158.0,158.0,0.0,480912.5979993842,-80.9658421672556,1.0,0.001543513
Nepal,58320,4848,33269211.0,5161038.0,4801738.0,174007.0,739.0,739.0,0.0,815.2167702114227,-6.961777843914345,1.0,0.091589211
Netherlands,33409,0,14908558.0,593054.0,710849.0,60820.0,,,,,19.862440856987728,,1.048317558
New Caledonia,30555,0,10983935.0,1440327.0,1397587.0,1855.0,,,,,-2.9673817126249804,,1.041538935
New Zealand,1505120,0,942269350.0,11255805.0,11432839.0,434875.0,26592.0,26592.0,0.0,12702.458669363308,1.5728239783827103,1.0,2.44738935
Nicaragua,2001073,744582,1107612542.0,7773867.0,7619468.0,142391.0,26.0,26.0,0.0,32385.80454967831,-1.9861286538604275,1.0,3.108685542
Niger,1,0,1040.0,2.0,48.0,5781.0,,,,,2300.0,,1.00000204
Nigeria,1438632,188254,804804532.0,10048743.0,10934423.0,927799.0,,,,,8.813838705995366,,3.243436532
North Korea,293118,0,84410895.0,5195566.0,4995618.0,288448.0,,,,,-3.8484353773968034,,1.377528895
Norway,1029788,0,275861065.0,11739515.0,13054556.0,476084.0,,,,,11.2018341473221,,2.305649065
Oman,0,0,31.0,0.0,0.0,1548.0,,,,,,,1.000000031
Pakistan,9531,0,2758407.0,681137.0,427270.0,116695.0,,,,,-37.27106294328454,,1.012289407
Palestine,18,0,6582.0,615.0,853.0,1697.0,,,,,38.699186991869915,,1.000024582
Panama,530647,97995,303088161.0,5734588.0,5579851.0,84310.0,5.0,5.0,0.0,16632.902562953,-2.6983106720134034,1.0,0.833735161
Papua New Guinea,1955431,986925,1462770187.0,42920264.0,42919728.0,266145.0,,,,,-0.001248827360428165,,4.418201187
Paraguay,7218927,1198607,1864805974.0,24273209.0,20431738.0,642419.0,678.0,678.0,0.0,11110.853356075037,-15.825970929513275,1.0,9.083732974
Peru,4350806,2812696,2769129317.0,78063555.0,78757035.0,429704.0,2530.0,2257.0,273.0,214513.36185070476,0.8883530861488437,0.892094861660079,7.227840455339921
Philippines,1524278,196066,928078743.0,18599368.0,18391718.0,172159.0,,,,,-1.116435784269659,,3.452356743
Poland,1443756,0,568509569.0,10439497.0,10635345.0,892070.0,,,,,1.8760290845430578,,3.012265569
Portugal,1253085,0,396246113.0,2302483.0,2171271.0,168608.0,,,,,-5.698717428098274,,2.649331113
Republic Of The Congo,1150323,482115,679138329.0,26388421.0,26636766.0,113140.0,,,,,0.9411135285434472,,2.829461329
Reunion,5712,0,2726297.0,170474.0,170200.0,0.0,,,,,-0.16072832220749206,,1.008438297
Romania,452813,0,220397141.0,7915160.0,7652859.0,223889.0,,,,,-3.313906478201325,,1.673210141
Russia,88831076,0,14981439550.0,761226509.0,754772109.0,37220538.0,,,,,-0.8478948018348635,,104.81251555
